,paul15_clusters,paul15_label,celltype,sc3s_labels
1606,14Mo,Mo,Mo,2
1607,8Mk,Mk,Mk,1
1608,5Ery,Ery,Ery,0
1609,15Mo,Mo,Mo,3
1610,15Mo,Mo,Mo,2
1611,3Ery,Ery,Ery,6
1612,16Neu,Neu,Neu,3
1613,15Mo,Mo,Mo,2
1614,4Ery,Ery,Ery,0
1615,3Ery,Ery,Ery,0
1616,8Mk,Mk,Mk,1
1617,15Mo,Mo,Mo,2
1618,14Mo,Mo,Mo,3
1619,5Ery,Ery,Ery,0
1620,3Ery,Ery,Ery,7
1621,4Ery,Ery,Ery,4
1622,2Ery,Ery,Ery,5
1623,8Mk,Mk,Mk,1
1624,7MEP,MEP,MEP,4
1625,10GMP,GMP,GMP,2
1626,15Mo,Mo,Mo,3
1627,14Mo,Mo,Mo,2
1628,13Baso,Baso,Baso,1
1629,3Ery,Ery,Ery,5
1630,7MEP,MEP,MEP,4
1631,2Ery,Ery,Ery,5
1632,13Baso,Baso,Baso,2
1633,2Ery,Ery,Ery,4
1634,10GMP,GMP,GMP,1
1635,2Ery,Ery,Ery,5
1636,2Ery,Ery,Ery,5
1637,2Ery,Ery,Ery,5
1638,12Baso,Baso,Baso,1
1639,14Mo,Mo,Mo,2
1640,1Ery,Ery,Ery,5
1641,14Mo,Mo,Mo,2
1642,14Mo,Mo,Mo,1
1643,2Ery,Ery,Ery,5
1644,14Mo,Mo,Mo,3
1645,16Neu,Neu,Neu,3
1646,14Mo,Mo,Mo,2
1647,8Mk,Mk,Mk,1
1648,16Neu,Neu,Neu,2
1649,16Neu,Neu,Neu,3
1650,2Ery,Ery,Ery,5
1651,8Mk,Mk,Mk,1
1652,5Ery,Ery,Ery,9
1653,6Ery,Ery,Ery,7
1654,19Lymph,Lymph,Lymph,1
1655,15Mo,Mo,Mo,2
1656,13Baso,Baso,Baso,1
1657,5Ery,Ery,Ery,7
1658,14Mo,Mo,Mo,3
1659,5Ery,Ery,Ery,9
1660,6Ery,Ery,Ery,7
1661,16Neu,Neu,Neu,3
1662,3Ery,Ery,Ery,8
1663,15Mo,Mo,Mo,3
1664,7MEP,MEP,MEP,4
1665,7MEP,MEP,MEP,4
1666,10GMP,GMP,GMP,2
1667,14Mo,Mo,Mo,2
1668,3Ery,Ery,Ery,6
1669,4Ery,Ery,Ery,9
1670,13Baso,Baso,Baso,2
1671,15Mo,Mo,Mo,3
1672,11DC,DC,DC,2
1673,17Neu,Neu,Neu,1
1674,4Ery,Ery,Ery,9
1675,6Ery,Ery,Ery,7
1676,3Ery,Ery,Ery,8
1677,3Ery,Ery,Ery,8
1678,7MEP,MEP,MEP,4
1679,8Mk,Mk,Mk,1
1680,6Ery,Ery,Ery,7
1681,11DC,DC,DC,4
1682,16Neu,Neu,Neu,3
1683,3Ery,Ery,Ery,8
1684,14Mo,Mo,Mo,2
1685,4Ery,Ery,Ery,8
1686,4Ery,Ery,Ery,8
1687,11DC,DC,DC,2
1688,3Ery,Ery,Ery,7
1689,14Mo,Mo,Mo,2
1690,15Mo,Mo,Mo,2
1691,3Ery,Ery,Ery,8
1692,10GMP,GMP,GMP,2
1693,6Ery,Ery,Ery,7
1694,2Ery,Ery,Ery,9
1695,16Neu,Neu,Neu,3
1696,15Mo,Mo,Mo,3
1697,7MEP,MEP,MEP,4
1698,3Ery,Ery,Ery,8
1699,10GMP,GMP,GMP,1
1700,3Ery,Ery,Ery,8
1701,14Mo,Mo,Mo,2
1702,7MEP,MEP,MEP,4
1703,6Ery,Ery,Ery,0
1704,10GMP,GMP,GMP,1
1705,10GMP,GMP,GMP,1
1706,3Ery,Ery,Ery,8
1707,7MEP,MEP,MEP,4
1708,2Ery,Ery,Ery,6
1709,4Ery,Ery,Ery,6
1710,7MEP,MEP,MEP,4
1711,13Baso,Baso,Baso,2
1712,6Ery,Ery,Ery,7
1713,15Mo,Mo,Mo,2
1714,8Mk,Mk,Mk,4
1715,10GMP,GMP,GMP,1
1716,4Ery,Ery,Ery,7
1717,4Ery,Ery,Ery,8
1718,3Ery,Ery,Ery,8
1719,7MEP,MEP,MEP,7
1720,2Ery,Ery,Ery,5
1721,16Neu,Neu,Neu,3
1722,3Ery,Ery,Ery,0
1723,3Ery,Ery,Ery,8
1724,6Ery,Ery,Ery,7
1725,6Ery,Ery,Ery,4
1726,7MEP,MEP,MEP,4
1727,4Ery,Ery,Ery,7
1728,16Neu,Neu,Neu,3
1729,2Ery,Ery,Ery,5
1730,13Baso,Baso,Baso,2
1731,10GMP,GMP,GMP,1
1732,3Ery,Ery,Ery,8
1733,3Ery,Ery,Ery,8
1734,10GMP,GMP,GMP,1
1735,6Ery,Ery,Ery,7
1736,14Mo,Mo,Mo,1
1737,15Mo,Mo,Mo,3
1738,7MEP,MEP,MEP,4
1739,13Baso,Baso,Baso,2
1740,14Mo,Mo,Mo,2
1741,14Mo,Mo,Mo,2
1742,14Mo,Mo,Mo,2
1743,2Ery,Ery,Ery,5
1744,16Neu,Neu,Neu,3
1745,7MEP,MEP,MEP,4
1746,14Mo,Mo,Mo,2
1747,10GMP,GMP,GMP,2
1748,14Mo,Mo,Mo,2
1749,6Ery,Ery,Ery,7
1750,14Mo,Mo,Mo,2
1751,16Neu,Neu,Neu,3
1752,2Ery,Ery,Ery,8
1753,10GMP,GMP,GMP,2
1754,16Neu,Neu,Neu,3
1755,14Mo,Mo,Mo,1
1756,14Mo,Mo,Mo,2
1757,5Ery,Ery,Ery,7
1758,12Baso,Baso,Baso,1
1759,4Ery,Ery,Ery,6
1760,3Ery,Ery,Ery,8
1761,13Baso,Baso,Baso,1
1762,2Ery,Ery,Ery,5
1763,4Ery,Ery,Ery,9
1764,4Ery,Ery,Ery,9
1765,3Ery,Ery,Ery,0
1766,3Ery,Ery,Ery,9
1767,13Baso,Baso,Baso,2
1768,12Baso,Baso,Baso,4
1769,14Mo,Mo,Mo,2
1770,16Neu,Neu,Neu,3
1771,3Ery,Ery,Ery,7
1772,5Ery,Ery,Ery,0
1773,6Ery,Ery,Ery,4
1774,7MEP,MEP,MEP,4
1775,4Ery,Ery,Ery,8
1776,4Ery,Ery,Ery,9
1777,5Ery,Ery,Ery,9
1778,14Mo,Mo,Mo,2
1779,14Mo,Mo,Mo,2
1780,2Ery,Ery,Ery,5
1781,12Baso,Baso,Baso,4
1782,3Ery,Ery,Ery,8
1783,5Ery,Ery,Ery,9
1784,2Ery,Ery,Ery,9
1785,2Ery,Ery,Ery,5
1786,16Neu,Neu,Neu,3
1787,7MEP,MEP,MEP,4
1788,5Ery,Ery,Ery,0
1789,2Ery,Ery,Ery,5
1790,7MEP,MEP,MEP,4
1791,3Ery,Ery,Ery,7
1792,4Ery,Ery,Ery,9
1793,2Ery,Ery,Ery,6
1794,5Ery,Ery,Ery,0
1795,10GMP,GMP,GMP,1
1796,1Ery,Ery,Ery,5
1797,10GMP,GMP,GMP,1
1798,11DC,DC,DC,2
1799,16Neu,Neu,Neu,2
1800,2Ery,Ery,Ery,6
1801,2Ery,Ery,Ery,9
1802,2Ery,Ery,Ery,5
1803,5Ery,Ery,Ery,0
1804,5Ery,Ery,Ery,0
1805,14Mo,Mo,Mo,2
1806,14Mo,Mo,Mo,2
1807,16Neu,Neu,Neu,3
1808,10GMP,GMP,GMP,1
1809,14Mo,Mo,Mo,2
1810,14Mo,Mo,Mo,2
1811,4Ery,Ery,Ery,0
1812,2Ery,Ery,Ery,5
1813,6Ery,Ery,Ery,7
1814,2Ery,Ery,Ery,9
1815,19Lymph,Lymph,Lymph,1
1816,16Neu,Neu,Neu,3
1817,1Ery,Ery,Ery,5
1818,13Baso,Baso,Baso,2
1819,3Ery,Ery,Ery,8
1820,15Mo,Mo,Mo,3
1821,3Ery,Ery,Ery,9
1822,5Ery,Ery,Ery,9
1823,2Ery,Ery,Ery,5
1824,2Ery,Ery,Ery,5
1825,16Neu,Neu,Neu,3
1826,4Ery,Ery,Ery,8
1827,12Baso,Baso,Baso,1
1828,3Ery,Ery,Ery,6
1829,12Baso,Baso,Baso,1
1830,14Mo,Mo,Mo,3
1831,15Mo,Mo,Mo,3
1832,14Mo,Mo,Mo,2
1833,10GMP,GMP,GMP,1
1834,6Ery,Ery,Ery,7
1835,12Baso,Baso,Baso,1
1836,2Ery,Ery,Ery,5
1837,3Ery,Ery,Ery,8
1838,4Ery,Ery,Ery,0
1839,7MEP,MEP,MEP,4
1840,4Ery,Ery,Ery,8
1841,15Mo,Mo,Mo,3
1842,2Ery,Ery,Ery,6
1843,7MEP,MEP,MEP,1
1844,14Mo,Mo,Mo,3
1845,3Ery,Ery,Ery,8
1846,13Baso,Baso,Baso,2
1847,3Ery,Ery,Ery,6
1848,15Mo,Mo,Mo,3
1849,15Mo,Mo,Mo,3
1850,13Baso,Baso,Baso,2
1851,14Mo,Mo,Mo,2
1852,4Ery,Ery,Ery,6
1853,14Mo,Mo,Mo,2
1854,6Ery,Ery,Ery,4
1855,3Ery,Ery,Ery,8
1856,14Mo,Mo,Mo,2
1857,8Mk,Mk,Mk,4
1858,8Mk,Mk,Mk,1
1859,7MEP,MEP,MEP,4
1860,15Mo,Mo,Mo,3
1861,15Mo,Mo,Mo,3
1862,13Baso,Baso,Baso,2
1863,16Neu,Neu,Neu,3
1864,6Ery,Ery,Ery,4
1865,3Ery,Ery,Ery,6
1866,2Ery,Ery,Ery,5
1867,13Baso,Baso,Baso,1
1868,3Ery,Ery,Ery,8
1869,3Ery,Ery,Ery,6
1870,13Baso,Baso,Baso,2
1871,11DC,DC,DC,2
1872,10GMP,GMP,GMP,1
1873,4Ery,Ery,Ery,8
1874,2Ery,Ery,Ery,5
1875,7MEP,MEP,MEP,4
1876,7MEP,MEP,MEP,4
1877,6Ery,Ery,Ery,7
1878,3Ery,Ery,Ery,8
1879,16Neu,Neu,Neu,3
1880,7MEP,MEP,MEP,4
1881,14Mo,Mo,Mo,3
1882,3Ery,Ery,Ery,7
1883,6Ery,Ery,Ery,9
1884,9GMP,GMP,GMP,1
1885,12Baso,Baso,Baso,1
1886,3Ery,Ery,Ery,6
1887,14Mo,Mo,Mo,2
1888,10GMP,GMP,GMP,1
1889,4Ery,Ery,Ery,9
1890,7MEP,MEP,MEP,4
1891,6Ery,Ery,Ery,7
1892,14Mo,Mo,Mo,2
1893,14Mo,Mo,Mo,2
1894,4Ery,Ery,Ery,9
1895,3Ery,Ery,Ery,5
1896,3Ery,Ery,Ery,9
1897,2Ery,Ery,Ery,5
1898,16Neu,Neu,Neu,3
1899,3Ery,Ery,Ery,8
1900,7MEP,MEP,MEP,4
1901,18Eos,Eos,Eos,1
1902,6Ery,Ery,Ery,7
1903,13Baso,Baso,Baso,2
1904,4Ery,Ery,Ery,9
1905,10GMP,GMP,GMP,1
1906,6Ery,Ery,Ery,7
1907,2Ery,Ery,Ery,9
1908,12Baso,Baso,Baso,4
1909,1Ery,Ery,Ery,5
1910,4Ery,Ery,Ery,7
1911,13Baso,Baso,Baso,2
1912,14Mo,Mo,Mo,2
1913,14Mo,Mo,Mo,3
1914,13Baso,Baso,Baso,1
1915,3Ery,Ery,Ery,8
1916,3Ery,Ery,Ery,6
1917,16Neu,Neu,Neu,3
1918,15Mo,Mo,Mo,3
1919,14Mo,Mo,Mo,1
1920,3Ery,Ery,Ery,7
1921,6Ery,Ery,Ery,7
1922,2Ery,Ery,Ery,9
1923,10GMP,GMP,GMP,2
1924,14Mo,Mo,Mo,3
1925,5Ery,Ery,Ery,7
1926,4Ery,Ery,Ery,9
1927,15Mo,Mo,Mo,3
1928,13Baso,Baso,Baso,2
1929,15Mo,Mo,Mo,2
1930,13Baso,Baso,Baso,2
1931,14Mo,Mo,Mo,2
1932,12Baso,Baso,Baso,1
1933,16Neu,Neu,Neu,3
1934,13Baso,Baso,Baso,1
1935,6Ery,Ery,Ery,9
1936,15Mo,Mo,Mo,3
1937,4Ery,Ery,Ery,9
1938,14Mo,Mo,Mo,1
1939,13Baso,Baso,Baso,1
1940,15Mo,Mo,Mo,3
1941,3Ery,Ery,Ery,9
1942,10GMP,GMP,GMP,4
1943,13Baso,Baso,Baso,2
1944,4Ery,Ery,Ery,6
1945,8Mk,Mk,Mk,1
1946,3Ery,Ery,Ery,9
1947,14Mo,Mo,Mo,2
1948,15Mo,Mo,Mo,2
1949,16Neu,Neu,Neu,3
1950,15Mo,Mo,Mo,3
1951,9GMP,GMP,GMP,1
1952,16Neu,Neu,Neu,3
1953,12Baso,Baso,Baso,1
1954,10GMP,GMP,GMP,4
1955,14Mo,Mo,Mo,3
1956,14Mo,Mo,Mo,2
1957,14Mo,Mo,Mo,2
1958,7MEP,MEP,MEP,7
1959,15Mo,Mo,Mo,2
1960,17Neu,Neu,Neu,1
1961,2Ery,Ery,Ery,6
1962,14Mo,Mo,Mo,3
1963,14Mo,Mo,Mo,2
1964,4Ery,Ery,Ery,8
1965,6Ery,Ery,Ery,7
1966,15Mo,Mo,Mo,3
1967,2Ery,Ery,Ery,5
1968,2Ery,Ery,Ery,9
1969,5Ery,Ery,Ery,7
1970,2Ery,Ery,Ery,9
1971,2Ery,Ery,Ery,5
1972,14Mo,Mo,Mo,2
1973,2Ery,Ery,Ery,5
1974,14Mo,Mo,Mo,2
1975,15Mo,Mo,Mo,2
1976,5Ery,Ery,Ery,0
1977,6Ery,Ery,Ery,4
1978,13Baso,Baso,Baso,2
1979,6Ery,Ery,Ery,4
1980,13Baso,Baso,Baso,2
1981,5Ery,Ery,Ery,0
1982,15Mo,Mo,Mo,2
1983,3Ery,Ery,Ery,9
1984,10GMP,GMP,GMP,1
1985,2Ery,Ery,Ery,9
1986,14Mo,Mo,Mo,2
1987,2Ery,Ery,Ery,9
1988,14Mo,Mo,Mo,1
1989,2Ery,Ery,Ery,9
1990,2Ery,Ery,Ery,5
1991,2Ery,Ery,Ery,9
1992,5Ery,Ery,Ery,9
1993,14Mo,Mo,Mo,2
1994,1Ery,Ery,Ery,5
1995,5Ery,Ery,Ery,9
1996,4Ery,Ery,Ery,0
1997,2Ery,Ery,Ery,5
1998,10GMP,GMP,GMP,1
1999,2Ery,Ery,Ery,9
2000,2Ery,Ery,Ery,9
2001,7MEP,MEP,MEP,4
2002,2Ery,Ery,Ery,5
2003,7MEP,MEP,MEP,4
2004,1Ery,Ery,Ery,5
2005,7MEP,MEP,MEP,4
2006,9GMP,GMP,GMP,1
2007,2Ery,Ery,Ery,9
2008,17Neu,Neu,Neu,4
2009,14Mo,Mo,Mo,2
2010,14Mo,Mo,Mo,2
2011,13Baso,Baso,Baso,2
2012,7MEP,MEP,MEP,4
2013,16Neu,Neu,Neu,3
2014,2Ery,Ery,Ery,9
2015,2Ery,Ery,Ery,5
2016,7MEP,MEP,MEP,4
2017,6Ery,Ery,Ery,4
2018,14Mo,Mo,Mo,2
2019,4Ery,Ery,Ery,8
2020,6Ery,Ery,Ery,4
2021,2Ery,Ery,Ery,5
2022,4Ery,Ery,Ery,9
2023,1Ery,Ery,Ery,5
2024,5Ery,Ery,Ery,0
2025,19Lymph,Lymph,Lymph,1
2026,8Mk,Mk,Mk,1
2027,4Ery,Ery,Ery,9
2028,6Ery,Ery,Ery,4
2029,13Baso,Baso,Baso,2
2030,6Ery,Ery,Ery,7
2031,13Baso,Baso,Baso,2
2032,7MEP,MEP,MEP,4
2033,3Ery,Ery,Ery,8
2034,3Ery,Ery,Ery,8
2035,13Baso,Baso,Baso,2
2036,3Ery,Ery,Ery,7
2037,15Mo,Mo,Mo,3
2038,14Mo,Mo,Mo,2
2039,6Ery,Ery,Ery,7
2040,10GMP,GMP,GMP,1
2041,16Neu,Neu,Neu,3
2042,4Ery,Ery,Ery,8
2043,14Mo,Mo,Mo,2
2044,14Mo,Mo,Mo,2
2045,10GMP,GMP,GMP,1
2046,3Ery,Ery,Ery,9
2047,10GMP,GMP,GMP,2
2048,14Mo,Mo,Mo,3
2049,3Ery,Ery,Ery,8
2050,4Ery,Ery,Ery,8
2051,19Lymph,Lymph,Lymph,1
2052,14Mo,Mo,Mo,2
2053,3Ery,Ery,Ery,5
2054,15Mo,Mo,Mo,3
2055,15Mo,Mo,Mo,3
2056,10GMP,GMP,GMP,1
2057,15Mo,Mo,Mo,3
2058,15Mo,Mo,Mo,3
2059,14Mo,Mo,Mo,2
2060,13Baso,Baso,Baso,2
2061,16Neu,Neu,Neu,3
2062,14Mo,Mo,Mo,2
2063,4Ery,Ery,Ery,6
2064,14Mo,Mo,Mo,1
2065,9GMP,GMP,GMP,4
2066,3Ery,Ery,Ery,6
2067,14Mo,Mo,Mo,2
2068,3Ery,Ery,Ery,8
2069,10GMP,GMP,GMP,1
2070,16Neu,Neu,Neu,3
2071,16Neu,Neu,Neu,3
2072,13Baso,Baso,Baso,2
2073,1Ery,Ery,Ery,5
2074,6Ery,Ery,Ery,4
2075,2Ery,Ery,Ery,0
2076,14Mo,Mo,Mo,1
2077,2Ery,Ery,Ery,9
2078,14Mo,Mo,Mo,3
2079,5Ery,Ery,Ery,0
2080,2Ery,Ery,Ery,5
2081,9GMP,GMP,GMP,1
2082,13Baso,Baso,Baso,2
2083,2Ery,Ery,Ery,0
2084,3Ery,Ery,Ery,0
2085,16Neu,Neu,Neu,3
2086,13Baso,Baso,Baso,2
2087,14Mo,Mo,Mo,2
2088,4Ery,Ery,Ery,9
2089,3Ery,Ery,Ery,8
2090,6Ery,Ery,Ery,7
2091,7MEP,MEP,MEP,4
2092,10GMP,GMP,GMP,1
2093,4Ery,Ery,Ery,0
2094,2Ery,Ery,Ery,9
2095,16Neu,Neu,Neu,3
2096,12Baso,Baso,Baso,1
2097,19Lymph,Lymph,Lymph,1
2098,7MEP,MEP,MEP,4
2099,13Baso,Baso,Baso,2
2100,4Ery,Ery,Ery,9
2101,7MEP,MEP,MEP,4
2102,4Ery,Ery,Ery,8
2103,12Baso,Baso,Baso,1
2104,5Ery,Ery,Ery,0
2105,2Ery,Ery,Ery,0
2106,2Ery,Ery,Ery,5
2107,9GMP,GMP,GMP,1
2108,1Ery,Ery,Ery,5
2109,11DC,DC,DC,2
2110,3Ery,Ery,Ery,8
2111,14Mo,Mo,Mo,2
2112,16Neu,Neu,Neu,3
2113,2Ery,Ery,Ery,5
2114,5Ery,Ery,Ery,9
2115,14Mo,Mo,Mo,2
2116,15Mo,Mo,Mo,2
2117,9GMP,GMP,GMP,1
2118,9GMP,GMP,GMP,1
2119,14Mo,Mo,Mo,2
2120,2Ery,Ery,Ery,5
2121,4Ery,Ery,Ery,6
2122,5Ery,Ery,Ery,9
2123,4Ery,Ery,Ery,9
2124,3Ery,Ery,Ery,6
2125,16Neu,Neu,Neu,3
2126,2Ery,Ery,Ery,5
2127,16Neu,Neu,Neu,3
2128,2Ery,Ery,Ery,5
2129,13Baso,Baso,Baso,1
2130,2Ery,Ery,Ery,9
2131,6Ery,Ery,Ery,0
2132,6Ery,Ery,Ery,0
2133,14Mo,Mo,Mo,2
2134,2Ery,Ery,Ery,0
2135,2Ery,Ery,Ery,0
2136,8Mk,Mk,Mk,1
2137,8Mk,Mk,Mk,1
2138,14Mo,Mo,Mo,2
2139,14Mo,Mo,Mo,2
2140,1Ery,Ery,Ery,5
2141,4Ery,Ery,Ery,8
2142,7MEP,MEP,MEP,4
2143,16Neu,Neu,Neu,3
2144,16Neu,Neu,Neu,3
2145,14Mo,Mo,Mo,2
2146,3Ery,Ery,Ery,9
2147,2Ery,Ery,Ery,9
2148,16Neu,Neu,Neu,2
2149,17Neu,Neu,Neu,1
2150,6Ery,Ery,Ery,0
2151,2Ery,Ery,Ery,9
2152,14Mo,Mo,Mo,2
2153,16Neu,Neu,Neu,3
2154,7MEP,MEP,MEP,4
2155,2Ery,Ery,Ery,6
2156,3Ery,Ery,Ery,8
2157,2Ery,Ery,Ery,0
2158,6Ery,Ery,Ery,4
2159,6Ery,Ery,Ery,4
2160,6Ery,Ery,Ery,4
2161,10GMP,GMP,GMP,1
2162,12Baso,Baso,Baso,4
2163,12Baso,Baso,Baso,1
2164,4Ery,Ery,Ery,9
2165,2Ery,Ery,Ery,9
2166,4Ery,Ery,Ery,4
2167,2Ery,Ery,Ery,5
2168,14Mo,Mo,Mo,2
2169,3Ery,Ery,Ery,0
2170,6Ery,Ery,Ery,7
2171,3Ery,Ery,Ery,5
2172,10GMP,GMP,GMP,1
2173,2Ery,Ery,Ery,0
2174,14Mo,Mo,Mo,2
2175,16Neu,Neu,Neu,3
2176,18Eos,Eos,Eos,3
2177,13Baso,Baso,Baso,2
2178,6Ery,Ery,Ery,0
2179,14Mo,Mo,Mo,2
2180,13Baso,Baso,Baso,2
2181,2Ery,Ery,Ery,0
2182,2Ery,Ery,Ery,9
2183,5Ery,Ery,Ery,4
2184,10GMP,GMP,GMP,1
2185,5Ery,Ery,Ery,0
2186,14Mo,Mo,Mo,2
2187,13Baso,Baso,Baso,1
2188,14Mo,Mo,Mo,2
2189,16Neu,Neu,Neu,3
2190,2Ery,Ery,Ery,9
2191,10GMP,GMP,GMP,1
2192,4Ery,Ery,Ery,9
2193,16Neu,Neu,Neu,3
2194,6Ery,Ery,Ery,4
2195,15Mo,Mo,Mo,3
2196,14Mo,Mo,Mo,1
2197,12Baso,Baso,Baso,1
2198,7MEP,MEP,MEP,4
2199,10GMP,GMP,GMP,1
2200,15Mo,Mo,Mo,2
2201,3Ery,Ery,Ery,8
2202,15Mo,Mo,Mo,3
2203,3Ery,Ery,Ery,8
2204,9GMP,GMP,GMP,1
2205,2Ery,Ery,Ery,5
2206,7MEP,MEP,MEP,1
2207,3Ery,Ery,Ery,6
2208,13Baso,Baso,Baso,2
2209,16Neu,Neu,Neu,3
2210,13Baso,Baso,Baso,2
2211,2Ery,Ery,Ery,6
2212,15Mo,Mo,Mo,3
2213,7MEP,MEP,MEP,4
2214,6Ery,Ery,Ery,0
2215,5Ery,Ery,Ery,9
2216,13Baso,Baso,Baso,2
2217,10GMP,GMP,GMP,1
2218,9GMP,GMP,GMP,1
2219,13Baso,Baso,Baso,2
2220,13Baso,Baso,Baso,2
2221,12Baso,Baso,Baso,1
2222,5Ery,Ery,Ery,0
2223,13Baso,Baso,Baso,2
2224,15Mo,Mo,Mo,3
2225,14Mo,Mo,Mo,2
2226,10GMP,GMP,GMP,1
2227,15Mo,Mo,Mo,2
2228,4Ery,Ery,Ery,9
2229,5Ery,Ery,Ery,0
2230,8Mk,Mk,Mk,1
2231,13Baso,Baso,Baso,2
2232,7MEP,MEP,MEP,4
2233,14Mo,Mo,Mo,2
2234,14Mo,Mo,Mo,2
2235,2Ery,Ery,Ery,5
2236,6Ery,Ery,Ery,4
2237,2Ery,Ery,Ery,5
2238,13Baso,Baso,Baso,2
2239,7MEP,MEP,MEP,4
2240,16Neu,Neu,Neu,3
2241,14Mo,Mo,Mo,2
2242,3Ery,Ery,Ery,0
2243,16Neu,Neu,Neu,3
2244,19Lymph,Lymph,Lymph,1
2245,10GMP,GMP,GMP,1
2246,12Baso,Baso,Baso,1
2247,10GMP,GMP,GMP,1
2248,13Baso,Baso,Baso,2
2249,1Ery,Ery,Ery,5
2250,16Neu,Neu,Neu,3
2251,6Ery,Ery,Ery,4
2252,14Mo,Mo,Mo,2
2253,2Ery,Ery,Ery,5
2254,14Mo,Mo,Mo,2
2255,10GMP,GMP,GMP,1
2256,14Mo,Mo,Mo,2
2257,16Neu,Neu,Neu,2
2258,9GMP,GMP,GMP,4
2259,3Ery,Ery,Ery,0
2260,3Ery,Ery,Ery,8
2261,14Mo,Mo,Mo,3
2262,2Ery,Ery,Ery,9
2263,12Baso,Baso,Baso,1
2264,9GMP,GMP,GMP,1
2265,1Ery,Ery,Ery,5
2266,3Ery,Ery,Ery,9
2267,5Ery,Ery,Ery,9
2268,2Ery,Ery,Ery,0
2269,8Mk,Mk,Mk,1
2270,2Ery,Ery,Ery,5
2271,16Neu,Neu,Neu,3
2272,5Ery,Ery,Ery,0
2273,10GMP,GMP,GMP,1
2274,13Baso,Baso,Baso,2
2275,16Neu,Neu,Neu,3
2276,14Mo,Mo,Mo,2
2277,2Ery,Ery,Ery,9
2278,5Ery,Ery,Ery,0
2279,15Mo,Mo,Mo,2
2280,7MEP,MEP,MEP,4
2281,15Mo,Mo,Mo,3
2282,5Ery,Ery,Ery,9
2283,6Ery,Ery,Ery,7
2284,5Ery,Ery,Ery,0
2285,2Ery,Ery,Ery,9
2286,3Ery,Ery,Ery,6
2287,15Mo,Mo,Mo,3
2288,7MEP,MEP,MEP,4
2289,3Ery,Ery,Ery,6
2290,15Mo,Mo,Mo,2
2291,16Neu,Neu,Neu,3
2292,6Ery,Ery,Ery,7
2293,7MEP,MEP,MEP,4
2294,6Ery,Ery,Ery,7
2295,6Ery,Ery,Ery,4
2296,10GMP,GMP,GMP,1
2297,4Ery,Ery,Ery,6
2298,13Baso,Baso,Baso,2
2299,14Mo,Mo,Mo,3
2300,13Baso,Baso,Baso,2
2301,3Ery,Ery,Ery,6
2302,6Ery,Ery,Ery,4
2303,8Mk,Mk,Mk,1
2304,14Mo,Mo,Mo,2
2305,2Ery,Ery,Ery,5
2306,9GMP,GMP,GMP,1
2307,6Ery,Ery,Ery,7
2308,15Mo,Mo,Mo,3
2309,13Baso,Baso,Baso,2
2310,3Ery,Ery,Ery,0
2311,16Neu,Neu,Neu,3
2312,2Ery,Ery,Ery,5
2313,9GMP,GMP,GMP,1
2314,14Mo,Mo,Mo,3
2315,3Ery,Ery,Ery,8
2316,14Mo,Mo,Mo,2
2317,14Mo,Mo,Mo,2
2318,16Neu,Neu,Neu,2
2319,14Mo,Mo,Mo,2
2320,9GMP,GMP,GMP,1
2321,3Ery,Ery,Ery,9
2322,13Baso,Baso,Baso,2
2323,10GMP,GMP,GMP,4
2324,14Mo,Mo,Mo,2
2325,3Ery,Ery,Ery,4
2326,6Ery,Ery,Ery,0
2327,14Mo,Mo,Mo,2
2328,4Ery,Ery,Ery,0
2329,3Ery,Ery,Ery,6
2330,2Ery,Ery,Ery,0
2331,2Ery,Ery,Ery,0
2332,14Mo,Mo,Mo,2
2333,2Ery,Ery,Ery,9
2334,8Mk,Mk,Mk,4
2335,10GMP,GMP,GMP,1
2336,10GMP,GMP,GMP,1
2337,14Mo,Mo,Mo,2
2338,10GMP,GMP,GMP,1
2339,16Neu,Neu,Neu,2
2340,10GMP,GMP,GMP,1
2341,10GMP,GMP,GMP,2
2342,13Baso,Baso,Baso,2
2343,16Neu,Neu,Neu,3
2344,2Ery,Ery,Ery,0
2345,16Neu,Neu,Neu,3
2346,2Ery,Ery,Ery,5
2347,14Mo,Mo,Mo,2
2348,11DC,DC,DC,2
2349,14Mo,Mo,Mo,2
2350,11DC,DC,DC,2
2351,14Mo,Mo,Mo,2
2352,13Baso,Baso,Baso,2
2353,2Ery,Ery,Ery,6
2354,2Ery,Ery,Ery,6
2355,16Neu,Neu,Neu,3
2356,2Ery,Ery,Ery,0
2357,2Ery,Ery,Ery,5
2358,14Mo,Mo,Mo,2
2359,5Ery,Ery,Ery,0
2360,2Ery,Ery,Ery,0
2361,7MEP,MEP,MEP,4
2362,9GMP,GMP,GMP,1
2363,2Ery,Ery,Ery,5
2364,10GMP,GMP,GMP,1
2365,7MEP,MEP,MEP,4
2366,6Ery,Ery,Ery,4
2367,15Mo,Mo,Mo,2
2368,5Ery,Ery,Ery,9
2369,5Ery,Ery,Ery,9
2370,15Mo,Mo,Mo,3
2371,14Mo,Mo,Mo,2
2372,8Mk,Mk,Mk,1
2373,14Mo,Mo,Mo,2
2374,15Mo,Mo,Mo,3
2375,4Ery,Ery,Ery,0
2376,14Mo,Mo,Mo,2
2377,13Baso,Baso,Baso,2
2378,6Ery,Ery,Ery,4
2379,4Ery,Ery,Ery,8
2380,13Baso,Baso,Baso,2
2381,4Ery,Ery,Ery,9
