,paul15_clusters,paul15_label,celltype,SC3,CIDR,Seurat,tsne,SIMLR,SAFE,SAME,ctec_db_labels,ctec_ob_labels
841,2Ery,Ery,Ery,1,10,3,1,1,1,5,0,0
842,4Ery,Ery,Ery,1,5,5,1,7,1,6,0,0
843,14Mo,Mo,Mo,3,11,1,2,5,2,1,1,5
844,17Neu,Neu,Neu,6,6,6,3,2,3,4,2,1
845,5Ery,Ery,Ery,2,5,2,1,1,1,5,0,1
846,13Baso,Baso,Baso,3,3,1,2,6,2,7,1,5
847,7MEP,MEP,MEP,6,3,2,3,2,3,3,2,1
848,3Ery,Ery,Ery,2,3,5,1,7,1,6,0,0
849,5Ery,Ery,Ery,2,10,5,1,7,1,6,0,0
850,13Baso,Baso,Baso,3,3,1,2,6,2,7,1,5
851,8Mk,Mk,Mk,6,1,7,3,2,3,4,2,1
852,6Ery,Ery,Ery,6,3,2,3,2,3,3,2,1
853,5Ery,Ery,Ery,2,8,3,1,1,1,5,0,0
854,5Ery,Ery,Ery,2,5,2,1,1,1,5,0,1
855,11DC,DC,DC,6,1,9,3,3,3,2,2,1
856,5Ery,Ery,Ery,1,10,3,1,1,1,5,0,0
857,15Mo,Mo,Mo,4,11,6,2,5,2,1,1,4
858,2Ery,Ery,Ery,1,3,3,1,1,1,5,0,0
859,2Ery,Ery,Ery,1,8,3,1,1,1,5,0,0
860,15Mo,Mo,Mo,4,2,4,2,5,2,1,1,5
861,15Mo,Mo,Mo,4,9,4,2,5,2,1,1,5
862,13Baso,Baso,Baso,5,3,4,2,6,2,7,1,5
863,14Mo,Mo,Mo,3,3,1,2,6,2,7,1,5
864,14Mo,Mo,Mo,3,2,1,2,6,2,7,1,5
865,14Mo,Mo,Mo,3,9,1,2,6,2,7,1,5
866,5Ery,Ery,Ery,2,5,3,1,1,1,5,0,0
867,7MEP,MEP,MEP,6,1,2,3,2,3,3,2,1
868,3Ery,Ery,Ery,2,3,5,1,1,1,6,0,0
869,2Ery,Ery,Ery,1,8,5,1,1,1,6,0,0
870,7MEP,MEP,MEP,6,1,2,3,2,3,3,2,1
871,1Ery,Ery,Ery,1,8,3,1,1,1,5,0,0
872,14Mo,Mo,Mo,3,3,1,2,6,2,7,1,5
873,2Ery,Ery,Ery,1,1,3,1,1,1,5,0,0
874,15Mo,Mo,Mo,4,3,4,2,5,2,1,1,5
875,13Baso,Baso,Baso,3,3,1,2,6,2,7,1,5
876,4Ery,Ery,Ery,2,5,3,1,1,1,5,0,0
877,13Baso,Baso,Baso,5,3,4,2,6,2,7,1,5
878,6Ery,Ery,Ery,2,1,2,3,1,1,3,0,1
879,9GMP,GMP,GMP,8,4,6,3,2,3,4,2,1
880,3Ery,Ery,Ery,1,8,5,1,7,1,6,0,0
881,6Ery,Ery,Ery,2,5,2,1,1,1,5,0,1
882,1Ery,Ery,Ery,1,8,3,1,1,1,5,0,0
883,4Ery,Ery,Ery,2,3,5,1,7,1,6,0,0
884,13Baso,Baso,Baso,3,3,1,2,6,2,7,1,5
885,9GMP,GMP,GMP,8,3,6,2,6,3,7,1,1
886,7MEP,MEP,MEP,6,11,2,3,2,3,3,2,1
887,14Mo,Mo,Mo,3,2,1,2,6,2,7,1,5
888,13Baso,Baso,Baso,5,3,6,2,5,2,1,1,4
889,13Baso,Baso,Baso,3,3,1,2,6,2,7,1,5
890,19Lymph,Lymph,Lymph,6,6,8,3,8,3,2,2,7
891,10GMP,GMP,GMP,8,6,6,3,2,3,4,2,1
892,9GMP,GMP,GMP,6,1,6,3,2,3,4,2,1
893,5Ery,Ery,Ery,2,5,2,1,1,1,5,0,1
894,16Neu,Neu,Neu,4,2,4,2,5,2,1,1,5
895,14Mo,Mo,Mo,3,4,1,2,6,2,7,1,5
896,15Mo,Mo,Mo,4,2,4,2,5,2,1,1,5
897,2Ery,Ery,Ery,1,8,3,1,1,1,5,0,0
898,3Ery,Ery,Ery,1,3,5,1,7,1,6,0,0
899,13Baso,Baso,Baso,5,3,4,2,6,2,7,1,4
900,6Ery,Ery,Ery,2,1,2,1,1,1,5,0,1
901,4Ery,Ery,Ery,1,10,3,1,1,1,5,0,0
902,3Ery,Ery,Ery,1,8,5,1,7,1,6,0,0
903,16Neu,Neu,Neu,4,9,4,2,5,2,1,1,5
904,9GMP,GMP,GMP,8,7,6,3,2,3,4,2,1
905,9GMP,GMP,GMP,8,6,6,3,2,3,4,2,1
906,12Baso,Baso,Baso,6,11,2,3,2,3,3,2,1
907,7MEP,MEP,MEP,6,6,2,3,2,3,3,2,1
908,16Neu,Neu,Neu,4,9,4,2,5,2,1,1,5
909,6Ery,Ery,Ery,2,1,2,1,1,1,5,0,1
910,13Baso,Baso,Baso,5,11,4,2,5,2,1,1,5
911,17Neu,Neu,Neu,6,4,6,3,2,3,4,2,1
912,14Mo,Mo,Mo,3,2,1,2,6,2,7,1,5
913,3Ery,Ery,Ery,1,8,5,1,7,1,6,0,0
914,16Neu,Neu,Neu,4,2,4,2,5,2,1,1,5
915,13Baso,Baso,Baso,8,11,1,2,6,2,7,1,5
916,14Mo,Mo,Mo,3,2,1,2,6,2,7,1,5
917,3Ery,Ery,Ery,1,8,5,1,7,1,6,0,0
918,14Mo,Mo,Mo,7,9,1,2,6,2,7,1,5
919,16Neu,Neu,Neu,4,9,4,2,5,2,1,1,5
920,2Ery,Ery,Ery,1,8,5,1,7,1,6,0,0
921,18Eos,Eos,Eos,5,3,6,3,2,3,4,2,1
922,7MEP,MEP,MEP,6,6,2,3,2,3,3,2,1
923,7MEP,MEP,MEP,6,5,2,3,2,3,3,2,1
924,5Ery,Ery,Ery,2,5,5,1,1,1,6,0,0
925,16Neu,Neu,Neu,3,9,1,2,6,2,7,1,5
926,2Ery,Ery,Ery,1,3,3,1,1,1,5,0,0
927,5Ery,Ery,Ery,2,1,3,1,1,1,5,0,0
928,13Baso,Baso,Baso,3,3,1,2,6,2,7,1,5
929,6Ery,Ery,Ery,6,1,2,3,2,3,3,2,1
930,14Mo,Mo,Mo,3,11,1,2,6,2,7,1,5
931,12Baso,Baso,Baso,6,11,6,3,2,3,4,2,1
932,13Baso,Baso,Baso,8,11,1,2,6,2,7,1,5
933,5Ery,Ery,Ery,1,5,5,1,7,1,6,0,0
934,2Ery,Ery,Ery,2,8,3,1,1,1,5,0,0
935,2Ery,Ery,Ery,1,1,5,1,7,1,6,0,0
936,14Mo,Mo,Mo,3,3,1,2,6,2,7,1,5
937,16Neu,Neu,Neu,4,9,4,2,5,2,1,1,5
938,14Mo,Mo,Mo,8,11,1,2,6,2,7,1,5
939,1Ery,Ery,Ery,1,3,5,1,1,1,6,0,0
940,11DC,DC,DC,6,11,9,3,3,3,2,2,1
941,1Ery,Ery,Ery,1,8,5,1,1,1,6,0,0
942,13Baso,Baso,Baso,8,3,1,2,6,2,7,1,1
943,3Ery,Ery,Ery,2,8,3,1,1,1,5,0,0
944,5Ery,Ery,Ery,2,8,5,1,1,1,6,0,0
945,16Neu,Neu,Neu,4,9,4,2,5,2,1,1,5
946,16Neu,Neu,Neu,4,9,4,2,5,2,1,1,5
947,6Ery,Ery,Ery,2,1,2,1,1,1,5,0,1
948,1Ery,Ery,Ery,1,8,3,1,1,1,5,0,0
949,14Mo,Mo,Mo,7,4,1,2,6,2,7,1,5
950,16Neu,Neu,Neu,4,9,4,2,5,2,1,1,5
951,2Ery,Ery,Ery,1,5,5,1,1,1,6,0,0
952,10GMP,GMP,GMP,6,3,2,3,2,3,3,2,1
953,5Ery,Ery,Ery,2,5,3,1,1,1,5,0,0
954,14Mo,Mo,Mo,3,4,1,2,6,2,7,1,5
955,2Ery,Ery,Ery,1,5,3,1,1,1,5,0,0
956,6Ery,Ery,Ery,2,1,2,1,1,1,5,0,0
957,5Ery,Ery,Ery,2,8,5,1,7,1,6,0,0
958,1Ery,Ery,Ery,1,8,3,1,1,1,5,0,0
959,5Ery,Ery,Ery,6,5,2,3,2,3,3,2,1
960,15Mo,Mo,Mo,4,9,4,2,5,2,1,1,5
961,19Lymph,Lymph,Lymph,6,6,8,3,8,3,2,2,1
962,10GMP,GMP,GMP,8,11,6,3,2,3,4,2,1
963,2Ery,Ery,Ery,1,3,5,1,7,1,6,0,0
964,5Ery,Ery,Ery,2,1,5,1,7,1,6,0,0
965,7MEP,MEP,MEP,6,1,2,3,2,3,3,2,1
966,6Ery,Ery,Ery,2,5,5,1,7,1,6,0,0
967,11DC,DC,DC,6,6,9,3,4,3,2,2,1
968,4Ery,Ery,Ery,2,5,5,1,7,1,6,0,0
969,15Mo,Mo,Mo,3,11,1,2,6,2,7,1,5
970,3Ery,Ery,Ery,1,8,5,1,7,1,6,0,0
971,2Ery,Ery,Ery,1,8,3,1,1,1,5,0,0
972,7MEP,MEP,MEP,6,3,2,3,2,3,3,2,1
973,1Ery,Ery,Ery,1,1,5,1,1,1,6,0,0
974,7MEP,MEP,MEP,6,1,2,3,2,3,3,2,1
975,5Ery,Ery,Ery,2,5,2,1,1,1,5,0,1
976,3Ery,Ery,Ery,1,8,5,1,7,1,6,0,0
977,3Ery,Ery,Ery,2,8,3,1,1,1,5,0,0
978,13Baso,Baso,Baso,7,3,4,2,6,2,7,1,5
979,3Ery,Ery,Ery,2,8,5,1,7,1,6,0,0
980,15Mo,Mo,Mo,4,9,4,2,5,2,1,1,5
981,15Mo,Mo,Mo,3,9,1,2,6,2,7,1,5
982,4Ery,Ery,Ery,1,8,3,1,1,1,5,0,0
983,14Mo,Mo,Mo,3,11,1,2,6,2,7,1,5
984,2Ery,Ery,Ery,1,10,3,1,1,1,5,0,0
985,2Ery,Ery,Ery,1,8,3,1,1,1,5,0,0
986,16Neu,Neu,Neu,4,2,4,2,5,2,1,1,5
987,13Baso,Baso,Baso,3,3,1,2,6,2,7,1,5
988,14Mo,Mo,Mo,7,4,1,2,6,2,7,1,5
989,5Ery,Ery,Ery,2,1,2,1,1,1,5,0,1
990,16Neu,Neu,Neu,4,9,4,2,5,2,1,1,5
991,14Mo,Mo,Mo,3,4,1,2,6,2,7,1,5
992,16Neu,Neu,Neu,4,2,4,2,5,2,1,1,5
993,8Mk,Mk,Mk,6,3,7,3,2,3,4,2,1
994,7MEP,MEP,MEP,6,5,2,3,2,3,3,2,1
995,8Mk,Mk,Mk,6,11,2,3,2,3,3,2,1
996,14Mo,Mo,Mo,3,4,1,2,6,2,7,1,5
997,10GMP,GMP,GMP,8,4,1,2,6,2,7,1,1
998,5Ery,Ery,Ery,2,8,5,1,7,1,6,0,0
999,10GMP,GMP,GMP,6,1,2,3,2,3,3,2,1
1000,3Ery,Ery,Ery,2,8,3,1,1,1,5,0,0
1001,13Baso,Baso,Baso,8,11,4,2,6,2,7,1,1
1002,14Mo,Mo,Mo,3,11,1,2,6,2,7,1,5
1003,3Ery,Ery,Ery,1,3,5,1,7,1,6,0,0
1004,2Ery,Ery,Ery,2,3,3,1,1,1,5,0,0
1005,2Ery,Ery,Ery,1,10,3,1,1,1,5,0,0
1006,14Mo,Mo,Mo,4,9,4,2,5,2,1,1,5
1007,2Ery,Ery,Ery,1,8,3,1,1,1,5,0,0
1008,6Ery,Ery,Ery,2,5,2,3,1,1,3,0,1
1009,4Ery,Ery,Ery,1,8,5,1,7,1,6,0,0
1010,15Mo,Mo,Mo,4,9,4,2,5,2,1,1,5
1011,13Baso,Baso,Baso,3,3,1,2,6,2,7,1,5
1012,6Ery,Ery,Ery,2,5,2,3,2,1,3,2,1
1013,12Baso,Baso,Baso,6,6,6,3,2,3,4,2,1
1014,16Neu,Neu,Neu,4,2,4,2,5,2,1,1,5
1015,14Mo,Mo,Mo,3,9,1,2,6,2,7,1,5
1016,15Mo,Mo,Mo,4,4,4,2,5,2,1,1,5
1017,13Baso,Baso,Baso,3,3,1,2,6,2,7,1,5
1018,2Ery,Ery,Ery,1,8,3,1,7,1,5,0,0
1019,14Mo,Mo,Mo,3,2,1,2,6,2,7,1,5
1020,14Mo,Mo,Mo,3,2,1,2,6,2,7,1,5
1021,12Baso,Baso,Baso,6,6,6,3,2,3,4,2,1
1022,10GMP,GMP,GMP,8,11,6,3,2,3,4,2,1
1023,7MEP,MEP,MEP,6,3,2,3,2,3,3,2,1
1024,2Ery,Ery,Ery,1,10,3,1,1,1,5,0,0
1025,4Ery,Ery,Ery,2,1,3,1,1,1,5,0,0
1026,3Ery,Ery,Ery,1,1,3,1,1,1,5,0,0
1027,16Neu,Neu,Neu,4,2,4,2,5,2,1,1,5
1028,5Ery,Ery,Ery,2,5,2,1,1,1,5,0,1
1029,2Ery,Ery,Ery,1,5,3,1,1,1,5,0,0
1030,3Ery,Ery,Ery,2,3,5,1,7,1,6,0,0
1031,2Ery,Ery,Ery,1,10,3,1,1,1,5,0,0
1032,14Mo,Mo,Mo,3,2,1,2,6,2,7,1,5
1033,14Mo,Mo,Mo,3,2,1,2,6,2,7,1,5
1034,8Mk,Mk,Mk,6,7,7,3,2,3,4,2,1
1035,5Ery,Ery,Ery,1,5,3,1,1,1,5,0,0
1036,7MEP,MEP,MEP,2,3,2,3,2,3,3,2,1
1037,7MEP,MEP,MEP,6,6,2,3,2,3,3,2,1
1038,16Neu,Neu,Neu,4,2,4,2,5,2,1,1,5
1039,2Ery,Ery,Ery,1,8,3,1,1,1,5,0,0
1040,13Baso,Baso,Baso,7,3,1,2,6,2,7,1,5
1041,5Ery,Ery,Ery,1,3,5,1,7,1,6,0,0
1042,5Ery,Ery,Ery,2,5,3,1,1,1,5,0,0
1043,14Mo,Mo,Mo,4,2,1,2,5,2,1,1,5
1044,6Ery,Ery,Ery,6,5,2,3,1,1,3,0,1
1045,14Mo,Mo,Mo,3,2,1,2,6,2,7,1,5
1046,7MEP,MEP,MEP,6,11,2,3,2,3,3,2,1
1047,2Ery,Ery,Ery,1,3,3,1,1,1,5,0,0
1048,13Baso,Baso,Baso,8,7,1,2,6,2,7,1,1
1049,2Ery,Ery,Ery,1,8,3,1,1,1,5,0,0
1050,14Mo,Mo,Mo,7,11,6,2,6,2,7,1,1
1051,2Ery,Ery,Ery,1,10,3,1,1,1,5,0,0
1052,15Mo,Mo,Mo,4,9,4,2,5,2,1,1,5
1053,3Ery,Ery,Ery,2,3,3,1,1,1,5,0,0
1054,5Ery,Ery,Ery,2,5,5,1,7,1,6,0,0
1055,10GMP,GMP,GMP,6,1,7,3,2,3,4,2,1
1056,6Ery,Ery,Ery,2,5,2,3,1,1,3,0,1
1057,15Mo,Mo,Mo,3,3,6,3,2,3,4,2,1
1058,1Ery,Ery,Ery,1,8,5,1,7,1,6,0,0
1059,4Ery,Ery,Ery,2,5,3,1,1,1,5,0,0
1060,12Baso,Baso,Baso,6,6,6,3,2,3,4,2,1
1061,4Ery,Ery,Ery,2,3,3,1,1,1,5,0,0
1062,13Baso,Baso,Baso,3,3,1,2,6,2,7,1,5
1063,6Ery,Ery,Ery,2,3,5,1,7,1,6,0,0
1064,3Ery,Ery,Ery,2,8,2,3,2,1,3,2,1
1065,8Mk,Mk,Mk,6,3,2,1,1,1,5,0,1
1066,6Ery,Ery,Ery,2,5,5,1,7,1,6,0,0
1067,3Ery,Ery,Ery,1,8,3,1,1,1,5,0,0
1068,3Ery,Ery,Ery,1,8,5,1,1,1,6,0,0
1069,4Ery,Ery,Ery,1,3,5,1,7,1,6,0,0
1070,16Neu,Neu,Neu,4,9,4,2,5,2,1,1,5
1071,7MEP,MEP,MEP,6,1,2,3,2,3,3,2,1
1072,3Ery,Ery,Ery,1,8,5,1,7,1,6,0,0
1073,15Mo,Mo,Mo,4,9,4,2,5,2,1,1,5
1074,10GMP,GMP,GMP,8,1,6,3,6,3,4,1,1
1075,12Baso,Baso,Baso,8,1,6,2,2,3,4,2,1
1076,3Ery,Ery,Ery,1,3,5,1,7,1,6,0,0
1077,3Ery,Ery,Ery,1,8,5,1,7,1,6,0,0
1078,14Mo,Mo,Mo,3,3,1,2,6,2,7,1,5
1079,9GMP,GMP,GMP,8,3,6,3,2,3,4,2,1
1080,12Baso,Baso,Baso,6,11,6,3,2,3,4,2,1
1081,15Mo,Mo,Mo,4,9,4,2,5,2,1,1,5
1082,15Mo,Mo,Mo,4,9,4,2,5,2,1,1,5
1083,2Ery,Ery,Ery,1,8,3,1,1,1,5,0,0
1084,14Mo,Mo,Mo,3,4,1,2,6,2,7,1,5
1085,4Ery,Ery,Ery,1,10,3,1,1,1,5,0,0
1086,3Ery,Ery,Ery,1,8,5,1,7,1,6,0,0
1087,14Mo,Mo,Mo,3,3,1,2,6,2,7,1,5
1088,14Mo,Mo,Mo,3,4,1,2,6,2,7,1,5
1089,8Mk,Mk,Mk,6,3,7,2,7,3,4,0,1
1090,16Neu,Neu,Neu,4,9,4,2,5,2,1,1,5
1091,10GMP,GMP,GMP,8,7,6,3,2,3,4,2,1
1092,2Ery,Ery,Ery,1,8,3,1,1,1,5,0,0
1093,2Ery,Ery,Ery,1,10,3,1,1,1,5,0,0
1094,3Ery,Ery,Ery,1,1,5,1,7,1,6,0,0
1095,9GMP,GMP,GMP,6,6,2,3,2,3,3,2,1
1096,15Mo,Mo,Mo,4,9,4,2,5,2,1,1,5
1097,14Mo,Mo,Mo,3,3,1,2,6,2,7,1,5
1098,5Ery,Ery,Ery,2,10,3,1,7,1,5,0,0
1099,14Mo,Mo,Mo,7,11,1,2,6,2,7,1,5
1100,2Ery,Ery,Ery,1,8,3,1,1,1,5,0,0
1101,13Baso,Baso,Baso,3,3,1,2,6,2,7,1,5
1102,14Mo,Mo,Mo,3,3,1,2,6,2,7,1,5
1103,14Mo,Mo,Mo,3,2,1,2,6,2,7,1,5
1104,14Mo,Mo,Mo,8,3,4,2,6,2,7,1,5
1105,2Ery,Ery,Ery,1,1,5,1,7,1,6,0,0
1106,2Ery,Ery,Ery,1,10,3,1,1,1,5,0,0
1107,13Baso,Baso,Baso,3,4,1,2,6,2,7,1,5
1108,6Ery,Ery,Ery,2,1,2,3,2,3,3,2,1
1109,7MEP,MEP,MEP,6,6,2,3,2,3,3,2,1
1110,7MEP,MEP,MEP,6,1,2,3,2,3,3,2,1
1111,13Baso,Baso,Baso,8,3,1,2,6,2,7,1,5
1112,3Ery,Ery,Ery,2,3,5,1,7,1,6,0,0
1113,3Ery,Ery,Ery,2,1,2,1,1,1,5,0,1
1114,14Mo,Mo,Mo,3,3,1,2,6,2,7,1,5
1115,2Ery,Ery,Ery,6,8,2,3,2,3,3,2,1
1116,2Ery,Ery,Ery,1,10,3,1,1,1,5,0,0
1117,8Mk,Mk,Mk,6,4,7,3,2,3,4,2,1
1118,7MEP,MEP,MEP,6,3,2,3,2,3,3,2,1
1119,16Neu,Neu,Neu,4,2,4,2,5,2,1,1,5
1120,5Ery,Ery,Ery,2,5,2,1,1,1,5,0,0
1121,14Mo,Mo,Mo,3,11,1,2,6,2,7,1,5
1122,2Ery,Ery,Ery,2,3,3,1,1,1,5,0,0
1123,14Mo,Mo,Mo,3,9,1,2,5,2,1,1,5
1124,8Mk,Mk,Mk,6,7,7,3,2,3,4,2,1
1125,7MEP,MEP,MEP,6,3,2,3,2,3,3,2,1
1126,19Lymph,Lymph,Lymph,6,1,8,3,8,3,2,2,1
1127,14Mo,Mo,Mo,4,3,4,2,5,2,1,1,5
1128,12Baso,Baso,Baso,6,6,2,3,2,3,3,2,1
1129,13Baso,Baso,Baso,3,4,1,2,6,2,7,1,5
1130,12Baso,Baso,Baso,6,1,7,3,2,3,4,2,1
1131,13Baso,Baso,Baso,3,3,1,2,6,2,7,1,5
1132,4Ery,Ery,Ery,1,5,5,1,7,1,6,0,0
1133,14Mo,Mo,Mo,5,3,4,2,5,2,1,1,5
1134,2Ery,Ery,Ery,1,1,5,1,7,1,6,0,0
1135,5Ery,Ery,Ery,1,5,3,1,1,1,5,0,0
1136,11DC,DC,DC,6,1,9,3,3,3,2,2,1
1137,16Neu,Neu,Neu,4,2,4,2,5,2,1,1,5
1138,3Ery,Ery,Ery,1,3,5,1,7,1,6,0,0
1139,11DC,DC,DC,6,1,9,3,4,3,2,2,1
1140,3Ery,Ery,Ery,2,1,5,1,7,1,6,0,0
1141,4Ery,Ery,Ery,1,5,5,1,7,1,6,0,0
1142,3Ery,Ery,Ery,1,5,3,1,7,1,5,0,0
1143,6Ery,Ery,Ery,2,1,2,1,1,1,5,0,1
1144,15Mo,Mo,Mo,4,9,4,2,5,2,1,1,5
1145,17Neu,Neu,Neu,6,11,6,3,2,3,4,2,1
1146,14Mo,Mo,Mo,3,4,1,2,6,2,7,1,5
1147,4Ery,Ery,Ery,1,10,5,1,7,1,6,0,0
1148,9GMP,GMP,GMP,8,3,6,2,6,3,7,1,1
1149,7MEP,MEP,MEP,6,6,2,3,2,3,3,2,1
1150,7MEP,MEP,MEP,6,3,2,3,2,3,3,2,1
1151,14Mo,Mo,Mo,4,2,4,2,5,2,1,1,5
1152,13Baso,Baso,Baso,3,3,1,2,6,2,7,1,5
1153,4Ery,Ery,Ery,2,5,5,1,7,1,6,0,0
1154,13Baso,Baso,Baso,8,4,6,3,2,3,4,2,1
1155,14Mo,Mo,Mo,3,3,1,2,6,2,7,1,5
1156,3Ery,Ery,Ery,2,8,3,1,1,1,5,0,0
1157,2Ery,Ery,Ery,1,8,3,1,1,1,5,0,0
1158,3Ery,Ery,Ery,1,3,5,1,7,1,6,0,0
1159,14Mo,Mo,Mo,3,9,1,2,6,2,7,1,5
1160,6Ery,Ery,Ery,2,5,2,1,1,1,5,0,0
1161,2Ery,Ery,Ery,1,10,3,1,1,1,5,0,0
1162,10GMP,GMP,GMP,8,7,1,2,6,2,7,1,5
1163,13Baso,Baso,Baso,3,11,1,2,6,2,7,1,5
1164,5Ery,Ery,Ery,2,5,2,1,1,1,5,0,0
1165,7MEP,MEP,MEP,6,1,2,3,2,3,3,2,1
1166,13Baso,Baso,Baso,3,3,1,2,6,2,7,1,5
1167,3Ery,Ery,Ery,1,3,3,1,1,1,5,0,0
1168,2Ery,Ery,Ery,1,10,3,1,1,1,5,0,0
1169,14Mo,Mo,Mo,3,11,1,2,6,2,7,1,5
1170,3Ery,Ery,Ery,1,1,5,1,1,1,6,0,0
1171,2Ery,Ery,Ery,1,8,3,1,1,1,5,0,0
1172,10GMP,GMP,GMP,6,1,2,3,2,3,3,2,1
1173,13Baso,Baso,Baso,3,3,1,2,6,2,7,1,5
1174,14Mo,Mo,Mo,3,9,1,2,6,2,7,1,5
1175,4Ery,Ery,Ery,1,5,5,1,7,1,6,0,0
1176,5Ery,Ery,Ery,2,8,3,1,1,1,5,0,0
1177,18Eos,Eos,Eos,6,11,6,3,2,3,4,2,1
1178,2Ery,Ery,Ery,2,8,3,1,2,1,5,2,1
1179,14Mo,Mo,Mo,4,9,4,2,5,2,1,1,5
1180,3Ery,Ery,Ery,1,3,5,1,7,1,6,0,0
1181,13Baso,Baso,Baso,8,4,1,2,6,2,7,1,1
1182,5Ery,Ery,Ery,2,5,5,1,7,1,6,0,0
1183,12Baso,Baso,Baso,8,1,6,2,2,3,4,2,1
1184,5Ery,Ery,Ery,2,3,2,3,1,1,3,0,1
1185,2Ery,Ery,Ery,1,8,5,1,7,1,6,0,0
1186,7MEP,MEP,MEP,6,7,2,3,2,3,3,2,1
1187,5Ery,Ery,Ery,6,5,2,3,2,3,3,2,1
1188,16Neu,Neu,Neu,4,2,4,2,5,2,1,1,5
1189,15Mo,Mo,Mo,4,9,4,2,5,2,1,1,5
1190,14Mo,Mo,Mo,4,3,4,2,5,2,1,1,4
1191,5Ery,Ery,Ery,2,5,3,1,1,1,5,0,0
1192,16Neu,Neu,Neu,4,9,4,2,5,2,1,1,5
1193,2Ery,Ery,Ery,1,8,3,1,1,1,5,0,0
1194,2Ery,Ery,Ery,1,8,3,1,1,1,5,0,0
1195,6Ery,Ery,Ery,2,8,2,1,7,1,5,0,0
1196,2Ery,Ery,Ery,1,5,3,1,1,1,5,0,0
1197,5Ery,Ery,Ery,2,5,3,1,1,1,5,0,0
1198,14Mo,Mo,Mo,7,3,1,2,6,2,7,1,5
1199,2Ery,Ery,Ery,1,3,5,1,1,1,6,0,0
1200,3Ery,Ery,Ery,2,3,5,1,7,1,6,0,0
1201,5Ery,Ery,Ery,2,5,5,1,7,1,6,0,0
1202,16Neu,Neu,Neu,4,9,4,2,5,2,1,1,5
1203,10GMP,GMP,GMP,8,7,6,2,6,3,7,1,1
1204,14Mo,Mo,Mo,3,9,1,2,6,2,7,1,5
1205,1Ery,Ery,Ery,1,8,3,1,1,1,5,0,0
1206,2Ery,Ery,Ery,1,10,3,1,1,1,5,0,0
1207,3Ery,Ery,Ery,1,8,5,1,7,1,6,0,0
1208,15Mo,Mo,Mo,4,2,4,2,5,2,1,1,5
1209,7MEP,MEP,MEP,6,1,7,3,2,3,4,2,1
1210,4Ery,Ery,Ery,2,8,3,1,7,1,5,0,0
1211,7MEP,MEP,MEP,6,1,2,3,2,3,3,2,1
1212,5Ery,Ery,Ery,2,3,2,1,1,1,5,0,0
1213,2Ery,Ery,Ery,2,8,3,1,1,1,5,0,0
1214,13Baso,Baso,Baso,8,6,1,2,6,2,7,1,5
1215,14Mo,Mo,Mo,3,9,1,2,6,2,7,1,5
1216,15Mo,Mo,Mo,3,9,1,2,6,2,7,1,5
1217,2Ery,Ery,Ery,1,5,3,1,7,1,5,0,0
1218,14Mo,Mo,Mo,4,9,4,2,5,2,1,1,5
1219,6Ery,Ery,Ery,2,5,2,1,1,1,5,0,1
1220,12Baso,Baso,Baso,8,11,6,2,6,2,7,1,1
1221,2Ery,Ery,Ery,1,8,5,1,7,1,6,0,0
1222,19Lymph,Lymph,Lymph,6,6,8,3,8,3,2,2,1
1223,6Ery,Ery,Ery,2,3,2,1,1,1,5,0,1
1224,14Mo,Mo,Mo,3,11,4,2,6,2,7,1,5
1225,6Ery,Ery,Ery,6,3,2,3,2,3,3,2,1
1226,17Neu,Neu,Neu,6,3,6,3,2,3,4,2,1
1227,6Ery,Ery,Ery,2,1,2,1,1,1,5,0,1
1228,6Ery,Ery,Ery,6,5,2,3,2,3,3,2,1
1229,9GMP,GMP,GMP,8,6,6,3,2,3,4,2,1
1230,3Ery,Ery,Ery,1,8,5,1,7,1,6,0,0
1231,14Mo,Mo,Mo,3,3,1,2,6,2,7,1,5
1232,6Ery,Ery,Ery,2,3,5,1,7,1,6,0,0
1233,15Mo,Mo,Mo,4,3,4,2,5,2,1,1,5
1234,15Mo,Mo,Mo,3,9,1,2,6,2,7,1,5
1235,13Baso,Baso,Baso,3,3,1,2,6,2,7,1,5
1236,3Ery,Ery,Ery,1,8,3,1,1,1,5,0,0
1237,16Neu,Neu,Neu,4,9,4,2,5,2,1,1,5
1238,7MEP,MEP,MEP,6,1,2,3,2,3,3,2,1
1239,3Ery,Ery,Ery,1,3,5,1,7,1,6,0,0
1240,13Baso,Baso,Baso,3,4,4,2,6,2,7,1,5
1241,3Ery,Ery,Ery,1,8,5,1,1,1,6,0,0
1242,14Mo,Mo,Mo,7,9,4,2,6,2,7,1,5
1243,14Mo,Mo,Mo,3,3,1,2,6,2,7,1,5
1244,8Mk,Mk,Mk,6,7,7,3,2,3,4,2,1
1245,16Neu,Neu,Neu,4,9,4,2,5,2,1,1,5
1246,14Mo,Mo,Mo,5,4,4,2,6,2,7,1,4
1247,17Neu,Neu,Neu,6,7,6,3,2,3,4,2,1
1248,3Ery,Ery,Ery,1,3,5,1,7,1,6,0,0
1249,5Ery,Ery,Ery,2,5,2,1,1,1,5,0,0
1250,10GMP,GMP,GMP,8,7,6,3,6,3,4,1,1
1251,16Neu,Neu,Neu,4,9,4,2,5,2,1,1,5
1252,2Ery,Ery,Ery,2,8,3,1,1,1,5,0,0
1253,14Mo,Mo,Mo,7,11,1,2,6,2,7,1,5
1254,6Ery,Ery,Ery,2,1,2,3,1,1,3,0,1
